Filename,Misuse line,Detected,Comment,Additional detection,15,34,31%
31556268.txt,12,Yes,,,,,
31880720.txt,9,Yes,sigmoid and softmax both are String,Misuse detected at line 12,,,
33474424.txt,,No,Implementation of MMC not working yet.,,,,
33564181.txt,11,No,Dynamic data shape,,,,
34311586.txt,11,Yes,,,,,
34717241.txt,4,Yes,,,,,
35968973.txt,14,No,Conversion of data to matrix,,,,
36392966.txt,8,No,,Misuse detected at line 32,,,
37085653.txt,1,Yes,,,,,
37666887.txt,8,No,Dynamic data shape,Misuse at line 1,,,
37758496.txt,,No,Multile method call not working yet,,,,
37817588.txt,37,No,"""nb_words + 1"" and ""nb_words"" difference how to detect it?",,,,
37891954.txt,16,No,Dynamic data dimension properties,,,,
39018767.txt,2,Yes,,,,,
39376169.txt,8,No,Dynamic data dimension properties,,,,
40331510.txt,,No,MMC is not working,,,,
40955942.txt,,No,User defined loss function need be passed as custom object.,,,,
41563720.txt,2,Yes,,,,,
41651628.txt,,No,Dependendent on backend,,,,
41668813.txt,,No,How to detect which input to be passed?,,,,
41863921.txt,,Yes,,,,,
41884001.txt,,No,Dynamic data properties,,,,
41933958.txt,,No,"""max_features + 1"" and ""max_features""",,,,
42081257.txt,,Yes,,,,,
42815131.txt,,Yes,,,,,
42856886.txt,,No,,,,,
42947295.txt,,No,Valid in recent version,,,,
42969779.txt,,No,,,,,
43117654.txt,,No,MMC not yet working,,,,
43196636.txt,,No,No idea how to detect these. Are they misuse?,,,,
43235531.txt,,Yes,,,,,
43396572.txt,,No,Dynamic dimension information,,,,
43509881.txt,,Yes,,,,,
43542226.txt,,No,,,,,
43855162.txt,,No,,,,,
43871575.txt,,No,,,,,
44132652.txt,,No,MMC not covered yet,,,,
44472693.txt,,No,MMC not covered yet,,,,
44991470.txt,,No,"tf.nn.fractional_max_pool returns 3 tensors, you need to get the first one only",,,,
45103692.txt,,No,Dimension sensitive analysis,,,,
45193744.txt,,No,Is this misuse? How to detect it?,,,,
45411902.txt,,No,User defined loss function need be passed as custom object.,,,,
45479239.txt,,No,Dynamic data type related,,,,
45645276.txt,,Yes,,,,,
45687019.txt,,Yes,,,,,
45799474.txt,,No,Not sure how to detect these,,,,
46770721.txt,,Yes,,,,,
48155026.txt,,No,,,,,
50082882.txt,,No,Should this be misuse?,,,,
,,,,,,,
,,,,,,,
11.40%,,,,,,,
